timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-17 10:44:51.483108	[-0.452854186296463, 1.5679868459701538, 0.2541859745979309]	[-0.5548678040504456, 0.10394454747438431, 0.17553459107875824]	[-0.8468424677848816, 1.7767293453216553, -0.11082105338573456]	[-0.41257670521736145, 0.9925453662872314, 0.17734791338443756]	[-0.38783806562423706, 0.13113074004650116, 0.30215984582901]	[0.0463767945766449, 1.8217984437942505, 0.28455036878585815]	[0.037612784653902054, -0.3730781376361847, -0.05351448804140091, 0.9254913330078125]	[0.008743848651647568, -0.12312818318605423, 0.010719957761466503, 0.992294430732727]	[0.8669927716255188, 0.3587390184402466, 0.3190162181854248, 0.13363584876060486]	[-0.21827319264411926, -0.2400873899459839, -0.08720272034406662, 0.9418654441833496]	[-0.015899527817964554, -0.18217645585536957, -0.0017130314372479916, 0.9831358790397644]	[0.2835659980773926, -0.054821863770484924, -0.8301039934158325, -0.476982444524765]
2024-07-17 10:44:51.494609	[-0.4527907371520996, 1.5679755210876465, 0.2542884051799774]	[-0.5548686385154724, 0.10394150763750076, 0.17554384469985962]	[-0.8417661190032959, 1.7807461023330688, -0.10923593491315842]	[-0.41256290674209595, 0.9925580620765686, 0.1773608922958374]	[-0.3878476321697235, 0.13110612332820892, 0.3021634817123413]	[0.04207827150821686, 1.8252111673355103, 0.2825222611427307]	[0.03759440779685974, -0.3726813793182373, -0.05329414829611778, 0.9256646037101746]	[0.008756192401051521, -0.12320022284984589, 0.010697336867451668, 0.9922856092453003]	[0.8702737092971802, 0.3553723692893982, 0.31397825479507446, 0.13323621451854706]	[-0.218344584107399, -0.23992301523685455, -0.08718547970056534, 0.9418924450874329]	[-0.016165612265467644, -0.1821911782026291, -0.001892436877824366, 0.9831284284591675]	[0.2674637734889984, -0.05905380845069885, -0.8340294361114502, -0.4789265990257263]
2024-07-17 10:44:51.506164	[-0.4526955187320709, 1.5679641962051392, 0.254424512386322]	[-0.5548794865608215, 0.1039460152387619, 0.17553913593292236]	[-0.8332425951957703, 1.78801691532135, -0.10520300269126892]	[-0.4125405550003052, 0.9925526976585388, 0.17738234996795654]	[-0.3878592252731323, 0.13110947608947754, 0.3021796643733978]	[0.030359473079442978, 1.8350749015808105, 0.27842605113983154]	[0.03801566734910011, -0.3720877468585968, -0.05310000106692314, 0.9258973598480225]	[0.008862089365720749, -0.12313852459192276, 0.010615231469273567, 0.9922932386398315]	[0.8733563423156738, 0.34673231840133667, 0.31820717453956604, 0.12557674944400787]	[-0.2184249311685562, -0.23978851735591888, -0.08724646270275116, 0.9419023990631104]	[-0.016103046014904976, -0.18235589563846588, -0.0018100290326401591, 0.9830990433692932]	[0.26659920811653137, -0.06343263387680054, -0.847281277179718, -0.45498955249786377]
2024-07-17 10:44:51.516599	[-0.4526616632938385, 1.5679547786712646, 0.25446397066116333]	[-0.5548721551895142, 0.10395102947950363, 0.17553775012493134]	[-0.8290421366691589, 1.7909575700759888, -0.10256809741258621]	[-0.41253867745399475, 0.9925658106803894, 0.1773993968963623]	[-0.38785821199417114, 0.13110636174678802, 0.3021775484085083]	[0.02499755099415779, 1.8392478227615356, 0.27689850330352783]	[0.0380813367664814, -0.3718251883983612, -0.053081464022397995, 0.9260011911392212]	[0.008778107352554798, -0.12316136062145233, 0.010728754103183746, 0.9922898411750793]	[0.8717028498649597, 0.34521621465682983, 0.3265646696090698, 0.11964733153581619]	[-0.21844656765460968, -0.23973485827445984, -0.08734424412250519, 0.9419019818305969]	[-0.015992315486073494, -0.18231478333473206, -0.0017252671532332897, 0.9831086993217468]	[0.2716691792011261, -0.07004542648792267, -0.8488491177558899, -0.448045551776886]
2024-07-17 10:44:51.528100	[-0.45264381170272827, 1.5679516792297363, 0.25453391671180725]	[-0.5548738241195679, 0.10392335802316666, 0.1755692958831787]	[-0.8239593505859375, 1.7939835786819458, -0.10355915874242783]	[-0.4125085473060608, 0.9925453066825867, 0.17739561200141907]	[-0.3878680169582367, 0.13111117482185364, 0.3021814525127411]	[0.0200822614133358, 1.8426756858825684, 0.27414172887802124]	[0.038378216326236725, -0.3719361126422882, -0.05289376899600029, 0.9259551167488098]	[0.00813930481672287, -0.123358815908432, 0.010954223573207855, 0.9922683835029602]	[0.8763411641120911, 0.34165284037590027, 0.31366023421287537, 0.13006454706192017]	[-0.21844346821308136, -0.23976396024227142, -0.087306909263134, 0.9418987035751343]	[-0.01582273654639721, -0.18228702247142792, -0.001583229168318212, 0.9831167459487915]	[0.2574412524700165, -0.06547057628631592, -0.855546236038208, -0.4443853199481964]
2024-07-17 10:44:51.539562	[-0.45262497663497925, 1.5679579973220825, 0.2546083927154541]	[-0.5548713207244873, 0.10393328964710236, 0.17557038366794586]	[-0.8149230480194092, 1.8009657859802246, -0.09963461756706238]	[-0.41253817081451416, 0.9926140308380127, 0.177456334233284]	[-0.38786548376083374, 0.13112714886665344, 0.30218467116355896]	[0.009033512324094772, 1.849544882774353, 0.2717071771621704]	[0.03831958398222923, -0.3719250559806824, -0.05234035849571228, 0.9259934425354004]	[0.008016524836421013, -0.12340784817934036, 0.01094736997038126, 0.9922633171081543]	[0.8776249885559082, 0.33429884910583496, 0.32136988639831543, 0.12140879034996033]	[-0.21843703091144562, -0.23967495560646057, -0.08747518807649612, 0.9419072270393372]	[-0.015877854079008102, -0.18228043615818024, -0.0016789635410532355, 0.9831169843673706]	[0.27798715233802795, -0.09163472801446915, -0.8472836017608643, -0.44321197271347046]
2024-07-17 10:44:51.551032	[-0.45262590050697327, 1.56795334815979, 0.2546399235725403]	[-0.554872989654541, 0.1039595827460289, 0.17553238570690155]	[-0.8103805184364319, 1.8038760423660278, -0.09777632355690002]	[-0.412506103515625, 0.9926186800003052, 0.17748071253299713]	[-0.38786837458610535, 0.13111934065818787, 0.3021849989891052]	[0.0036503863520920277, 1.8538429737091064, 0.26775532960891724]	[0.038336992263793945, -0.37190037965774536, -0.052145447582006454, 0.926013708114624]	[0.008725433610379696, -0.12319102138280869, 0.010733933188021183, 0.9922865629196167]	[0.8759393692016602, 0.33115965127944946, 0.3311117887496948, 0.11588188260793686]	[-0.2184203714132309, -0.23971816897392273, -0.08745220303535461, 0.9419022798538208]	[-0.015715833753347397, -0.18236355483531952, -0.0015988530358299613, 0.9831043481826782]	[0.2524860203266144, -0.07026585191488266, -0.8649348616600037, -0.4280201196670532]
2024-07-17 10:44:51.562912	[-0.45264872908592224, 1.567971110343933, 0.25466787815093994]	[-0.554876983165741, 0.10395495593547821, 0.17553052306175232]	[-0.8068240284919739, 1.8070576190948486, -0.09557697921991348]	[-0.4125141203403473, 0.9926171898841858, 0.17749418318271637]	[-0.38785895705223083, 0.1311047226190567, 0.30218756198883057]	[-0.0017617465928196907, 1.8571821451187134, 0.26552778482437134]	[0.03811318054795265, -0.37176313996315, -0.05145369842648506, 0.9261166453361511]	[0.008733701892197132, -0.12321946024894714, 0.010441686026751995, 0.9922860860824585]	[0.8755068182945251, 0.32464146614074707, 0.3407860994338989, 0.10936503857374191]	[-0.21836161613464355, -0.2397565096616745, -0.08753903955221176, 0.9418980479240417]	[-0.01584315486252308, -0.18236732482910156, -0.0017636448610574007, 0.9831013083457947]	[0.2480207085609436, -0.06670230627059937, -0.8692684173583984, -0.4223848581314087]
2024-07-17 10:44:51.574514	[-0.45267823338508606, 1.5679806470870972, 0.25467145442962646]	[-0.5548712611198425, 0.10395754873752594, 0.17550824582576752]	[-0.7984543442726135, 1.8130908012390137, -0.09192747622728348]	[-0.4125305712223053, 0.9926246404647827, 0.1775420755147934]	[-0.3878774046897888, 0.13109570741653442, 0.3022061586380005]	[-0.012525034137070179, 1.8635369539260864, 0.2605021297931671]	[0.03815014287829399, -0.3716850280761719, -0.05119013413786888, 0.9261611104011536]	[0.008683042600750923, -0.12336613982915878, 0.010467208921909332, 0.9922680258750916]	[0.8745636940002441, 0.3229810297489166, 0.34634482860565186, 0.10424432158470154]	[-0.21833094954490662, -0.2399212270975113, -0.08765386790037155, 0.9418525695800781]	[-0.016075434163212776, -0.18241171538829803, -0.0016142226522788405, 0.9830894470214844]	[0.23276306688785553, -0.061759959906339645, -0.8770468831062317, -0.4156871736049652]
2024-07-17 10:44:51.586038	[-0.45268723368644714, 1.567992091178894, 0.25469115376472473]	[-0.5548753142356873, 0.10396289080381393, 0.17550987005233765]	[-0.794765830039978, 1.815414309501648, -0.09019680321216583]	[-0.41253697872161865, 0.9926236271858215, 0.17757204174995422]	[-0.3878852427005768, 0.1310953050851822, 0.30218300223350525]	[-0.01737019047141075, 1.866356611251831, 0.2585340142250061]	[0.037943217903375626, -0.37166884541511536, -0.050835877656936646, 0.9261955618858337]	[0.008564179763197899, -0.1232779398560524, 0.01052902452647686, 0.9922794103622437]	[0.8727698922157288, 0.3177550137042999, 0.3554048240184784, 0.1048426479101181]	[-0.21825607120990753, -0.2399909794330597, -0.08770947903394699, 0.9418469667434692]	[-0.015894293785095215, -0.1824849247932434, -0.0017168056219816208, 0.98307865858078]	[0.22983726859092712, -0.05994303151965141, -0.8804150223731995, -0.41042783856391907]
2024-07-17 10:44:51.597506	[-0.45273569226264954, 1.5680071115493774, 0.2547015845775604]	[-0.5548836588859558, 0.10396954417228699, 0.17551597952842712]	[-0.7868832349777222, 1.821183443069458, -0.08621762692928314]	[-0.4124677777290344, 0.992590069770813, 0.177585169672966]	[-0.38788238167762756, 0.13109838962554932, 0.30217644572257996]	[-0.02792719006538391, 1.8723539113998413, 0.25422415137290955]	[0.03784557804465294, -0.37156912684440613, -0.050274480134248734, 0.9262702465057373]	[0.008662629872560501, -0.12335430085659027, 0.010500572621822357, 0.9922693967819214]	[0.8708614706993103, 0.31509464979171753, 0.36564648151397705, 0.09283571690320969]	[-0.2181207537651062, -0.24032674729824066, -0.08756504952907562, 0.9418061375617981]	[-0.01573297008872032, -0.182636097073555, -0.0018937229178845882, 0.9830528497695923]	[0.22690778970718384, -0.06358185410499573, -0.885211706161499, -0.4010864496231079]
2024-07-17 10:44:51.608904	[-0.45276200771331787, 1.5680023431777954, 0.25469526648521423]	[-0.5548627972602844, 0.10397481918334961, 0.17550672590732574]	[-0.7827647924423218, 1.824067234992981, -0.0844893604516983]	[-0.4124539792537689, 0.9925844669342041, 0.177596777677536]	[-0.38787978887557983, 0.1310991495847702, 0.30218175053596497]	[-0.03301316499710083, 1.8751232624053955, 0.25212544202804565]	[0.037797797471284866, -0.37159013748168945, -0.050049521028995514, 0.9262759685516357]	[0.008680741302669048, -0.12324373424053192, 0.010465627536177635, 0.992283284664154]	[0.8682665228843689, 0.31470987200737, 0.37315496802330017, 0.08846735954284668]	[-0.21806807816028595, -0.24040241539478302, -0.08756696432828903, 0.9417988657951355]	[-0.01573805883526802, -0.18279117345809937, -0.001741337007842958, 0.9830242395401001]	[0.22180169820785522, -0.06472136080265045, -0.8886101841926575, -0.3962160348892212]
2024-07-17 10:44:51.621126	[-0.45277300477027893, 1.5679841041564941, 0.25469186902046204]	[-0.554865837097168, 0.10396872460842133, 0.17550620436668396]	[-0.7790473699569702, 1.8264673948287964, -0.08248264342546463]	[-0.4124116897583008, 0.9926036596298218, 0.17762933671474457]	[-0.38787221908569336, 0.13109315931797028, 0.3021848797798157]	[-0.03764883801341057, 1.8776544332504272, 0.2504514157772064]	[0.03796766698360443, -0.37153974175453186, -0.049862686544656754, 0.9262992739677429]	[0.008489718660712242, -0.12330374121665955, 0.010507022961974144, 0.9922770261764526]	[0.8666273355484009, 0.31028011441230774, 0.3810710906982422, 0.08641891181468964]	[-0.21816319227218628, -0.24046017229557037, -0.08756937831640244, 0.94176185131073]	[-0.015955965965986252, -0.18274931609630585, -0.0018785024294629693, 0.9830282926559448]	[0.22299084067344666, -0.06629208475351334, -0.8903502225875854, -0.3913528323173523]
2024-07-17 10:44:51.632498	[-0.45282530784606934, 1.567947506904602, 0.2546428143978119]	[-0.5548412799835205, 0.10394486039876938, 0.1755078136920929]	[-0.7711360454559326, 1.8313372135162354, -0.0790235847234726]	[-0.41235411167144775, 0.992585301399231, 0.17765973508358002]	[-0.38788294792175293, 0.13108403980731964, 0.30218157172203064]	[-0.04737686365842819, 1.8824102878570557, 0.2468918263912201]	[0.038162123411893845, -0.3715229332447052, -0.04977274313569069, 0.926302969455719]	[0.008540651760995388, -0.12338143587112427, 0.010297087952494621, 0.9922692179679871]	[0.8638805150985718, 0.30451905727386475, 0.39245033264160156, 0.08343459665775299]	[-0.21804238855838776, -0.24064502120018005, -0.08758056908845901, 0.9417416453361511]	[-0.01581658236682415, -0.182896226644516, -0.0017289624083787203, 0.9830034971237183]	[0.22046731412410736, -0.06984551250934601, -0.8937371373176575, -0.38438236713409424]
2024-07-17 10:44:51.643867	[-0.4528871476650238, 1.5679306983947754, 0.25460284948349]	[-0.554840087890625, 0.10395364463329315, 0.17551283538341522]	[-0.7671725153923035, 1.8342747688293457, -0.07741591334342957]	[-0.41233208775520325, 0.9925844073295593, 0.17767973244190216]	[-0.387882798910141, 0.1310921311378479, 0.30219101905822754]	[-0.05235857889056206, 1.8847956657409668, 0.24520844221115112]	[0.03816746547818184, -0.371455579996109, -0.049714114516973495, 0.9263328313827515]	[0.008573650382459164, -0.12332668900489807, 0.01043161004781723, 0.9922743439674377]	[0.863974928855896, 0.3030421733856201, 0.3941831588745117, 0.07957646995782852]	[-0.2180919647216797, -0.24075259268283844, -0.08758552372455597, 0.941702127456665]	[-0.015779413282871246, -0.18294300138950348, -0.001731455558910966, 0.982995331287384]	[0.21918706595897675, -0.0694238543510437, -0.8961525559425354, -0.3795367181301117]
2024-07-17 10:44:51.655265	[-0.4529699981212616, 1.5678848028182983, 0.2545132339000702]	[-0.5548460483551025, 0.10396549850702286, 0.17551253736019135]	[-0.7597308158874512, 1.8390284776687622, -0.07434513419866562]	[-0.4122379720211029, 0.9926142692565918, 0.1777046173810959]	[-0.3878779113292694, 0.13110803067684174, 0.3021923005580902]	[-0.06114450469613075, 1.8885389566421509, 0.24284066259860992]	[0.0383627824485302, -0.3715602457523346, -0.049669597297906876, 0.9262851476669312]	[0.008632466197013855, -0.12335187196731567, 0.010604257695376873, 0.9922688603401184]	[0.8632892966270447, 0.29867324233055115, 0.3996375799179077, 0.0762600228190422]	[-0.21812303364276886, -0.24078811705112457, -0.08741499483585358, 0.9417017102241516]	[-0.01567484252154827, -0.18294310569763184, -0.0016891640843823552, 0.9829970598220825]	[0.22887498140335083, -0.07912436872720718, -0.8932763934135437, -0.37869903445243835]
2024-07-17 10:44:51.666626	[-0.45302480459213257, 1.5678746700286865, 0.254469096660614]	[-0.5548393130302429, 0.10396229475736618, 0.17552031576633453]	[-0.7556431889533997, 1.84140944480896, -0.07201682031154633]	[-0.4121930003166199, 0.9926206469535828, 0.17771771550178528]	[-0.38787925243377686, 0.1311013549566269, 0.302194207906723]	[-0.06628972291946411, 1.8907403945922852, 0.24125991761684418]	[0.03840470686554909, -0.3717183470726013, -0.04955403879284859, 0.9262262582778931]	[0.008579111658036709, -0.1233736202120781, 0.010517613962292671, 0.9922675490379333]	[0.8611523509025574, 0.2951009273529053, 0.4072469174861908, 0.07404106855392456]	[-0.2181292176246643, -0.2408231645822525, -0.08738301694393158, 0.9416942596435547]	[-0.015480829402804375, -0.18293261528015137, -0.0017582324799150229, 0.9830020070075989]	[0.22897650301456451, -0.08228591829538345, -0.8944476246833801, -0.3751829266548157]
2024-07-17 10:44:51.677010	[-0.45309391617774963, 1.567850112915039, 0.2544146776199341]	[-0.5548281669616699, 0.10395228117704391, 0.17551289498806]	[-0.7514726519584656, 1.8437683582305908, -0.07099495083093643]	[-0.41215837001800537, 0.9926190972328186, 0.17773443460464478]	[-0.3878737688064575, 0.13108909130096436, 0.3022041320800781]	[-0.07117080688476562, 1.892755389213562, 0.23989653587341309]	[0.03841603547334671, -0.3718860149383545, -0.049521561712026596, 0.9261602163314819]	[0.008654318749904633, -0.12339940667152405, 0.010366697795689106, 0.9922652244567871]	[0.8632569313049316, 0.2918921411037445, 0.4042494595050812, 0.07854318618774414]	[-0.21817679703235626, -0.24083581566810608, -0.08741048723459244, 0.941677451133728]	[-0.01557251252233982, -0.18298396468162537, -0.0018622494535520673, 0.9829908609390259]	[0.22924105823040009, -0.08349046111106873, -0.8952251672744751, -0.37289366126060486]
2024-07-17 10:44:51.688441	[-0.4532460570335388, 1.5678353309631348, 0.2542879581451416]	[-0.5548062324523926, 0.10393842309713364, 0.17552699148654938]	[-0.7442852258682251, 1.8481125831604004, -0.06741159409284592]	[-0.41207101941108704, 0.9926013946533203, 0.1777464896440506]	[-0.38786372542381287, 0.1310780644416809, 0.30220842361450195]	[-0.07937396317720413, 1.8965038061141968, 0.23802147805690765]	[0.03839660435914993, -0.3723244071006775, -0.04928046837449074, 0.9259976148605347]	[0.008497025817632675, -0.12341172993183136, 0.010220015421509743, 0.9922665953636169]	[0.8600719571113586, 0.2849162220954895, 0.4163050949573517, 0.0760868489742279]	[-0.21835432946681976, -0.24101175367832184, -0.08738856017589569, 0.94159334897995]	[-0.015817904844880104, -0.1830262839794159, -0.0020207823254168034, 0.9829787611961365]	[0.2378641664981842, -0.08963402360677719, -0.8954577445983887, -0.36543378233909607]
