timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-17 10:45:32.688042	[-0.204134002327919, 1.5606094598770142, 0.3583812713623047]	[-0.0869300439953804, 0.8075530529022217, -0.5285801887512207]	[-0.4985516369342804, 0.8042963743209839, 0.144406259059906]	[-0.22526435554027557, 0.9970735311508179, 0.2637419104576111]	[-0.25110363960266113, 0.1320473849773407, 0.25784215331077576]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.041895970702171326, -0.34360218048095703, -0.05680473893880844, 0.9364590048789978]	[0.6057617664337158, -0.17253825068473816, 0.07834707945585251, 0.7727516293525696]	[0.04531834274530411, 0.2794089913368225, -0.02031799592077732, 0.9588869214057922]	[-0.008080901578068733, -0.24215653538703918, -0.16410328447818756, 0.9562244415283203]	[-0.04216224327683449, -0.08856000006198883, -0.0779297947883606, 0.9921221733093262]	[0.18961934745311737, -0.9217809438705444, -0.11174742132425308, -0.3191818296909332]
2024-07-17 10:45:32.700310	[-0.20411624014377594, 1.5603049993515015, 0.358552485704422]	[-0.08503910899162292, 0.8135430812835693, -0.5296461582183838]	[-0.4981336295604706, 0.8042492866516113, 0.14290198683738708]	[-0.22541223466396332, 0.9969543218612671, 0.2636226713657379]	[-0.251027375459671, 0.1321321278810501, 0.257711797952652]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.042547862976789474, -0.3433254659175873, -0.056838128715753555, 0.9365290999412537]	[0.6097888350486755, -0.1708889901638031, 0.0779738500714302, 0.7699835896492004]	[0.04919091612100601, 0.2817347049713135, -0.019925232976675034, 0.9580234885215759]	[-0.006071498151868582, -0.24302458763122559, -0.16524265706539154, 0.9558227062225342]	[-0.04339282214641571, -0.0896633118391037, -0.07808028906583786, 0.9919582605361938]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.712792	[-0.20405353605747223, 1.559770941734314, 0.35887470841407776]	[-0.08172591030597687, 0.824469268321991, -0.531173825263977]	[-0.4973066747188568, 0.8042218685150146, 0.14039771258831024]	[-0.22577205300331116, 0.9978941082954407, 0.26430150866508484]	[-0.25088298320770264, 0.13228236138820648, 0.25747451186180115]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04335898905992508, -0.34275057911872864, -0.05697375163435936, 0.9366942048072815]	[0.6141154170036316, -0.17355646193027496, 0.07904471457004547, 0.7658279538154602]	[0.05296756327152252, 0.2847914695739746, -0.017125220969319344, 0.9569718837738037]	[0.00026678916765376925, -0.24508900940418243, -0.16284307837486267, 0.9557267427444458]	[-0.04475727304816246, -0.09190603345632553, -0.07841619104146957, 0.9916658401489258]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.724996	[-0.20401056110858917, 1.5595682859420776, 0.3590182363986969]	[-0.08014007657766342, 0.8294986486434937, -0.5319267511367798]	[-0.49676018953323364, 0.8043010830879211, 0.13922257721424103]	[-0.22568708658218384, 0.9978440999984741, 0.26421287655830383]	[-0.25082966685295105, 0.13234205543994904, 0.25737592577934265]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.043510179966688156, -0.34245535731315613, -0.05708841234445572, 0.9367882609367371]	[0.6172960996627808, -0.17375528812408447, 0.0796871930360794, 0.7631543874740601]	[0.05425605550408363, 0.28518611192703247, -0.014760458841919899, 0.9568215608596802]	[0.0017434541368857026, -0.24614962935447693, -0.1628483682870865, 0.9554516673088074]	[-0.04547896236181259, -0.09311671555042267, -0.07862589508295059, 0.9915033578872681]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.737317	[-0.2039336860179901, 1.5592825412750244, 0.3593081533908844]	[-0.07737255841493607, 0.8384706377983093, -0.5331568717956543]	[-0.49563807249069214, 0.804297149181366, 0.13700081408023834]	[-0.22577877342700958, 0.9977515339851379, 0.26401370763778687]	[-0.25073328614234924, 0.1324722021818161, 0.25725510716438293]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.043534696102142334, -0.34168678522109985, -0.05742755904793739, 0.9370469450950623]	[0.6213554739952087, -0.1752484291791916, 0.08053935319185257, 0.7594200968742371]	[0.05965999886393547, 0.2886005938053131, -0.013824064284563065, 0.9554890990257263]	[0.004697042983025312, -0.24812987446784973, -0.16371731460094452, 0.9547807574272156]	[-0.047429706901311874, -0.09524238854646683, -0.0792013481259346, 0.9911642670631409]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.749596	[-0.2038899064064026, 1.5591942071914673, 0.3594546914100647]	[-0.07609736919403076, 0.8425008654594421, -0.5336441397666931]	[-0.4950104057788849, 0.8044126033782959, 0.13599981367588043]	[-0.2257712036371231, 0.9976864457130432, 0.26385146379470825]	[-0.25065743923187256, 0.13252712786197662, 0.2571714520454407]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.043335799127817154, -0.3414302170276642, -0.05759015306830406, 0.9371396899223328]	[0.6227691173553467, -0.17694436013698578, 0.08091295510530472, 0.7578275203704834]	[0.06147579476237297, 0.2888278663158417, -0.01291500125080347, 0.9553179740905762]	[0.005639832932502031, -0.2491084486246109, -0.16441911458969116, 0.9544001221656799]	[-0.0479767881333828, -0.09619949758052826, -0.07937789708375931, 0.991031289100647]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.761756	[-0.20382806658744812, 1.5591028928756714, 0.35968953371047974]	[-0.0735732913017273, 0.849417507648468, -0.5344814658164978]	[-0.49375173449516296, 0.8044520020484924, 0.13423655927181244]	[-0.2256588339805603, 0.997570276260376, 0.26342856884002686]	[-0.2504800260066986, 0.1326613575220108, 0.25709912180900574]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04305390268564224, -0.3410160541534424, -0.05820104107260704, 0.9372657537460327]	[0.6260639429092407, -0.17712000012397766, 0.08157128095626831, 0.7549957036972046]	[0.06279440224170685, 0.2880955636501312, -0.011028117500245571, 0.9554769396781921]	[0.006996908690780401, -0.25116774439811707, -0.16566433012485504, 0.9536358118057251]	[-0.0495438426733017, -0.09747132658958435, -0.07969091087579727, 0.9908047914505005]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.772822	[-0.20378205180168152, 1.55909264087677, 0.3597968816757202]	[-0.07232487201690674, 0.8524906039237976, -0.5349556803703308]	[-0.4930211007595062, 0.8045941591262817, 0.13363607227802277]	[-0.22575831413269043, 0.9975602626800537, 0.26330825686454773]	[-0.2504039406776428, 0.13270801305770874, 0.25704655051231384]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04266233369708061, -0.34092390537261963, -0.0584634430706501, 0.9373009204864502]	[0.6283211708068848, -0.17575712502002716, 0.08324813097715378, 0.7532539963722229]	[0.0623578242957592, 0.28507208824157715, -0.009434858337044716, 0.9564290642738342]	[0.008039754815399647, -0.25187256932258606, -0.16644105315208435, 0.9533063173294067]	[-0.05006309226155281, -0.09821045398712158, -0.07973605394363403, 0.9907020330429077]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.784693	[-0.20375266671180725, 1.5591048002243042, 0.35989293456077576]	[-0.07146519422531128, 0.855176568031311, -0.5353840589523315]	[-0.4923943281173706, 0.8045191168785095, 0.13276062905788422]	[-0.22578252851963043, 0.9975404739379883, 0.26318418979644775]	[-0.25031334161758423, 0.13276968896389008, 0.25698456168174744]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04241634160280228, -0.34090763330459595, -0.05863984301686287, 0.9373068809509277]	[0.6290386915206909, -0.17687925696372986, 0.0819133073091507, 0.7525385618209839]	[0.06379072368144989, 0.28488656878471375, -0.009571276605129242, 0.9563884139060974]	[0.008627166971564293, -0.25280454754829407, -0.16711561381816864, 0.9529364109039307]	[-0.05062500387430191, -0.09893926233053207, -0.07980340719223022, 0.9905955791473389]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.796279	[-0.20369964838027954, 1.5591249465942383, 0.36002084612846375]	[-0.06964145600795746, 0.8597337007522583, -0.5362573862075806]	[-0.49100181460380554, 0.8044149279594421, 0.1313944011926651]	[-0.22585517168045044, 0.997556209564209, 0.2628912627696991]	[-0.2501591444015503, 0.13288888335227966, 0.2568209767341614]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.041802942752838135, -0.34090685844421387, -0.05895064026117325, 0.9373152852058411]	[0.6312679648399353, -0.17746326327323914, 0.08382579684257507, 0.7503204345703125]	[0.062192402780056, 0.28001075983047485, -0.008179384283721447, 0.9579453468322754]	[0.010122640989720821, -0.25520673394203186, -0.1687086671590805, 0.9520002603530884]	[-0.05187882483005524, -0.10111121088266373, -0.08004855364561081, 0.9902915358543396]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.808750	[-0.20367678999900818, 1.5591448545455933, 0.36005356907844543]	[-0.0689697340130806, 0.8615214824676514, -0.5366430282592773]	[-0.4903354346752167, 0.8043913841247559, 0.1310182809829712]	[-0.22590218484401703, 0.9975004196166992, 0.262722373008728]	[-0.2500937283039093, 0.13295726478099823, 0.25675877928733826]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.041580457240343094, -0.3409355878829956, -0.059067510068416595, 0.9373072981834412]	[0.6318605542182922, -0.1785159856081009, 0.08284420520067215, 0.749680757522583]	[0.059612054377794266, 0.27497610449790955, -0.005952700041234493, 0.9595828652381897]	[0.010743719525635242, -0.2566816210746765, -0.16929380595684052, 0.9514928460121155]	[-0.05263204872608185, -0.1023186519742012, -0.08022551238536835, 0.9901134967803955]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.819937	[-0.20361025631427765, 1.5592155456542969, 0.3601028323173523]	[-0.06770799309015274, 0.8643742799758911, -0.5373391509056091]	[-0.4892674684524536, 0.8043317794799805, 0.13005293905735016]	[-0.22616660594940186, 0.9977235198020935, 0.2625594139099121]	[-0.24999168515205383, 0.13315005600452423, 0.2565876543521881]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04143710434436798, -0.3411449193954468, -0.0590798445045948, 0.9372367262840271]	[0.6327140927314758, -0.18039065599441528, 0.08318667858839035, 0.7484732270240784]	[0.05913759768009186, 0.2714282274246216, -0.007021371275186539, 0.9606145024299622]	[0.011485051363706589, -0.2592009902000427, -0.17041508853435516, 0.9506007432937622]	[-0.05347996950149536, -0.10552055388689041, -0.08098580688238144, 0.9896700382232666]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.830809	[-0.20358309149742126, 1.5592424869537354, 0.3601078987121582]	[-0.06717003136873245, 0.8653819561004639, -0.5376539826393127]	[-0.4887756109237671, 0.8043155074119568, 0.12972256541252136]	[-0.22625792026519775, 0.9978363513946533, 0.2624658942222595]	[-0.24994853138923645, 0.13321428000926971, 0.2565208375453949]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04128188267350197, -0.3412573039531708, -0.05906576290726662, 0.9372035264968872]	[0.6332822442054749, -0.18087726831436157, 0.08307360112667084, 0.7478875517845154]	[0.05827301740646362, 0.2695932388305664, -0.007181310094892979, 0.9611826539039612]	[0.011688449420034885, -0.2605404555797577, -0.17082366347312927, 0.9501586556434631]	[-0.05355168506503105, -0.10690448433160782, -0.08102613687515259, 0.9895142316818237]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.843374	[-0.20354758203029633, 1.5592623949050903, 0.36009445786476135]	[-0.0667216032743454, 0.8661350607872009, -0.537983775138855]	[-0.4883517622947693, 0.8042811155319214, 0.12946541607379913]	[-0.22638392448425293, 0.9979250431060791, 0.2623540461063385]	[-0.24990572035312653, 0.13328713178634644, 0.2564713954925537]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04120132699608803, -0.34142035245895386, -0.05904531106352806, 0.9371489882469177]	[0.633478581905365, -0.18159982562065125, 0.08304537087678909, 0.7475492358207703]	[0.05670369789004326, 0.26707348227500916, -0.006801475305110216, 0.9619824886322021]	[0.01194461714476347, -0.2617679238319397, -0.17117561399936676, 0.9497545957565308]	[-0.05417240783572197, -0.10761164873838425, -0.08139564096927643, 0.989373505115509]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.853991	[-0.20346702635288239, 1.5592857599258423, 0.36002179980278015]	[-0.06601891666650772, 0.866735577583313, -0.5384858250617981]	[-0.48758190870285034, 0.8041778206825256, 0.12911860644817352]	[-0.22675098478794098, 0.9979917407035828, 0.2620678246021271]	[-0.2499411404132843, 0.13334433734416962, 0.25643980503082275]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04119749367237091, -0.34184780716896057, -0.059206485748291016, 0.9369831681251526]	[0.6336762309074402, -0.18311674892902374, 0.08311452716588974, 0.7470037937164307]	[0.05401831865310669, 0.26373547315597534, -0.007639824412763119, 0.9630510210990906]	[0.012497972697019577, -0.2639212906360626, -0.17192865908145905, 0.949015200138092]	[-0.0548059456050396, -0.10919243842363358, -0.08206825703382492, 0.9891097545623779]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.864755	[-0.20342637598514557, 1.5592886209487915, 0.3599558174610138]	[-0.06574699282646179, 0.8666754364967346, -0.5386699438095093]	[-0.48728424310684204, 0.8041310906410217, 0.12894806265830994]	[-0.22697623074054718, 0.9981641173362732, 0.26196637749671936]	[-0.24996085464954376, 0.13334017992019653, 0.2564728260040283]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.041109878569841385, -0.3421357572078705, -0.05932183936238289, 0.9368746876716614]	[0.6332916021347046, -0.1838253140449524, 0.08309821039438248, 0.7471577525138855]	[0.053191740065813065, 0.2623192369937897, -0.00805947370827198, 0.9634803533554077]	[0.012724939733743668, -0.26464733481407166, -0.1717991977930069, 0.9488334655761719]	[-0.05524127930402756, -0.10978315770626068, -0.08232051134109497, 0.9889991879463196]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.874865	[-0.2033759206533432, 1.559292197227478, 0.3598610460758209]	[-0.06555590033531189, 0.8664200305938721, -0.5388222336769104]	[-0.48703885078430176, 0.8041185736656189, 0.1288367658853531]	[-0.22719806432724, 0.9982753992080688, 0.26184698939323425]	[-0.24999520182609558, 0.13334129750728607, 0.25653398036956787]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.040858298540115356, -0.342501163482666, -0.05933258682489395, 0.9367514252662659]	[0.6329291462898254, -0.1848684400320053, 0.08255193382501602, 0.7472680807113647]	[0.052176620811223984, 0.2609061002731323, -0.008520974777638912, 0.9639154672622681]	[0.012835661880671978, -0.2651544511318207, -0.17183434963226318, 0.9486839771270752]	[-0.055560290813446045, -0.11048491299152374, -0.08217711001634598, 0.9889151453971863]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.887112	[-0.20328721404075623, 1.5593082904815674, 0.3596305549144745]	[-0.0653335377573967, 0.8653239607810974, -0.5391473770141602]	[-0.4865688681602478, 0.8041096329689026, 0.1285562366247177]	[-0.22765296697616577, 0.9984388947486877, 0.2615329325199127]	[-0.2500689923763275, 0.1333438754081726, 0.2566603720188141]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.040704432874917984, -0.34334316849708557, -0.059738725423812866, 0.9364240169525146]	[0.6320151686668396, -0.18762041628360748, 0.08007986098527908, 0.7476246953010559]	[0.05114361271262169, 0.2579731345176697, -0.009152489714324474, 0.9647541046142578]	[0.013300256803631783, -0.2659117579460144, -0.17157237231731415, 0.9485130906105042]	[-0.056141264736652374, -0.11156085133552551, -0.08220077306032181, 0.9887595176696777]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
2024-07-17 10:45:32.899328	[-0.20324863493442535, 1.5593141317367554, 0.3594588041305542]	[-0.06509261578321457, 0.8640488386154175, -0.5391692519187927]	[-0.4863763451576233, 0.8040947914123535, 0.12844452261924744]	[-0.2278929352760315, 0.9983748197555542, 0.26124316453933716]	[-0.25011396408081055, 0.13330323994159698, 0.256778359413147]	[0.06311477720737457, 0.7391327023506165, 0.29703059792518616]	[0.04065847769379616, -0.3439316153526306, -0.06004743650555611, 0.9361902475357056]	[0.6311392188072205, -0.18752634525299072, 0.08065472543239594, 0.7483261227607727]	[0.05019541457295418, 0.2564777433872223, -0.009471614845097065, 0.9651994705200195]	[0.013257826678454876, -0.2666313052177429, -0.1714518517255783, 0.9483333826065063]	[-0.05711017921566963, -0.11200147867202759, -0.08190637081861496, 0.9886786341667175]	[0.18961933255195618, -0.9217808842658997, -0.11174741387367249, -0.31918179988861084]
