timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-17 10:47:27.557858	[-0.3817254304885864, 1.5392982959747314, 0.10901542752981186]	[-0.5090779066085815, 0.10594328492879868, 0.03565441071987152]	[-0.7192364931106567, 1.2482267618179321, -0.18139997124671936]	[-0.35631996393203735, 0.97798091173172, 0.056181568652391434]	[0.03106868267059326, 0.22400574386119843, 0.23526906967163086]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10489151626825333, -0.35696664452552795, -0.02571968361735344, 0.9278530478477478]	[-0.10582690685987473, -0.10053510963916779, -0.04024498537182808, 0.9884704947471619]	[0.9340935945510864, 0.11262036114931107, -0.24926413595676422, 0.22946295142173767]	[-0.19189603626728058, -0.32574743032455444, -0.07242754101753235, 0.9229403138160706]	[-0.13095764815807343, -0.4826902449131012, 0.1774923950433731, 0.8475592732429504]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.569315	[-0.37578895688056946, 1.5378602743148804, 0.1108468696475029]	[-0.5086849331855774, 0.10593846440315247, 0.035614531487226486]	[-0.6998483538627625, 1.2532490491867065, -0.19680020213127136]	[-0.35153794288635254, 0.9761250019073486, 0.05787046626210213]	[0.037250228226184845, 0.216752290725708, 0.23046104609966278]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10378645360469818, -0.35520613193511963, -0.025466766208410263, 0.9286594986915588]	[-0.10829624533653259, -0.10013727098703384, -0.041751205921173096, 0.9881808161735535]	[0.9444462060928345, 0.09685464948415756, -0.20571638643741608, 0.2373211532831192]	[-0.19056352972984314, -0.3246731460094452, -0.07549601048231125, 0.9233489632606506]	[-0.1212473064661026, -0.4602731764316559, 0.16875237226486206, 0.8631166219711304]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.580671	[-0.37031859159469604, 1.53641939163208, 0.1124827116727829]	[-0.5083281397819519, 0.10591845959424973, 0.03543750196695328]	[-0.6810954213142395, 1.2578048706054688, -0.20969948172569275]	[-0.34682151675224304, 0.9749600887298584, 0.05942125990986824]	[0.04202026501297951, 0.2104366272687912, 0.226836696267128]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10352646559476852, -0.35362508893013, -0.025391489267349243, 0.9292937517166138]	[-0.1104956716299057, -0.0990721806883812, -0.04355897009372711, 0.9879665970802307]	[0.9538766741752625, 0.08386828750371933, -0.16707177460193634, 0.23488830029964447]	[-0.19116246700286865, -0.3233357071876526, -0.07505188137292862, 0.9237306118011475]	[-0.1167164295911789, -0.43616536259651184, 0.1656818687915802, 0.876747727394104]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.592119	[-0.3592246472835541, 1.533341646194458, 0.11565647274255753]	[-0.5077036023139954, 0.10586544126272202, 0.0349014475941658]	[-0.6415046453475952, 1.2664028406143188, -0.23262278735637665]	[-0.3372969925403595, 0.9713046550750732, 0.062281832098960876]	[0.048840295523405075, 0.19889141619205475, 0.22005681693553925]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10455625504255295, -0.3502079248428345, -0.02528281696140766, 0.9304746985435486]	[-0.11278366297483444, -0.09617624431848526, -0.048651859164237976, 0.9877565503120422]	[0.9687085151672363, 0.06008901819586754, -0.10456052422523499, 0.2169339656829834]	[-0.187606543302536, -0.31865838170051575, -0.07830909639596939, 0.925812304019928]	[-0.11154701560735703, -0.39066949486732483, 0.15900704264640808, 0.8998063206672668]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.603512	[-0.3534327745437622, 1.5316444635391235, 0.11724776774644852]	[-0.5073676705360413, 0.10580486804246902, 0.034659989178180695]	[-0.620267391204834, 1.2704066038131714, -0.24314402043819427]	[-0.33161625266075134, 0.9682905673980713, 0.06381380558013916]	[0.05106986686587334, 0.19328618049621582, 0.21732644736766815]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10447987914085388, -0.3487839698791504, -0.025187315419316292, 0.9310205578804016]	[-0.11438567191362381, -0.09452949464321136, -0.05225086957216263, 0.9875474572181702]	[0.9747515916824341, 0.04879869520664215, -0.06947405636310577, 0.20652201771736145]	[-0.1815352588891983, -0.3166275918483734, -0.07625088840723038, 0.9278888702392578]	[-0.11159716546535492, -0.37124910950660706, 0.1554931253194809, 0.9085935354232788]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.615142	[-0.34758105874061584, 1.52994704246521, 0.11880989372730255]	[-0.5070261359214783, 0.10573828965425491, 0.034436795860528946]	[-0.5988335013389587, 1.2740833759307861, -0.252085417509079]	[-0.3268675208091736, 0.9671242237091064, 0.06558118015527725]	[0.05272466316819191, 0.18805234134197235, 0.21509671211242676]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10481732338666916, -0.3463135361671448, -0.02472596801817417, 0.9319167733192444]	[-0.11619008332490921, -0.09241288155317307, -0.05888305604457855, 0.9871639609336853]	[0.9767746925354004, 0.03427688777446747, -0.04280218109488487, 0.20713374018669128]	[-0.18630985915660858, -0.3139190673828125, -0.08065640181303024, 0.927490234375]	[-0.11350975185632706, -0.3553469181060791, 0.15286785364151, 0.9151369333267212]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.626640	[-0.3353177607059479, 1.526232361793518, 0.12194809317588806]	[-0.5061352252960205, 0.10567841678857803, 0.03396974503993988]	[-0.5545988082885742, 1.2804399728775024, -0.2674153745174408]	[-0.3157041370868683, 0.9637922644615173, 0.06922926753759384]	[0.05410495400428772, 0.17734816670417786, 0.21201191842556]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10490676015615463, -0.34516391158103943, -0.023930618539452553, 0.9323539137840271]	[-0.11671583354473114, -0.09131017327308655, -0.06301609426736832, 0.9869493246078491]	[0.978043794631958, 0.0023571234196424484, -0.0020760041661560535, 0.20837585628032684]	[-0.1838749349117279, -0.3075191080570221, -0.07685507088899612, 0.9304382801055908]	[-0.11689619719982147, -0.33698901534080505, 0.14610721170902252, 0.9227277636528015]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.636651	[-0.3291887938976288, 1.5242785215377808, 0.12346505373716354]	[-0.5056150555610657, 0.10566806048154831, 0.033778298646211624]	[-0.5320698618888855, 1.2830345630645752, -0.2742995619773865]	[-0.3094533681869507, 0.9615485072135925, 0.07089663296937943]	[0.05348880589008331, 0.17191104590892792, 0.21059750020503998]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10607581585645676, -0.3431161642074585, -0.02362409234046936, 0.9329850673675537]	[-0.11707281321287155, -0.09032340347766876, -0.06622994691133499, 0.9867873787879944]	[0.9800907969474792, -0.009872944094240665, 0.020499635487794876, 0.1972421407699585]	[-0.1832035630941391, -0.303727388381958, -0.0738108828663826, 0.9320613145828247]	[-0.11936134845018387, -0.33834293484687805, 0.13961461186408997, 0.9229218363761902]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.646485	[-0.322783499956131, 1.5222368240356445, 0.12505611777305603]	[-0.5050528049468994, 0.10561540722846985, 0.03364178165793419]	[-0.5097091197967529, 1.285237431526184, -0.2795614004135132]	[-0.3039432168006897, 0.9589712619781494, 0.07333406060934067]	[0.052811652421951294, 0.16626301407814026, 0.2112182080745697]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10654345899820328, -0.34165284037590027, -0.022824564948678017, 0.9334886074066162]	[-0.11705267429351807, -0.08903802186250687, -0.07023664563894272, 0.9866294860839844]	[0.9799062609672546, -0.026961280032992363, 0.03767041116952896, 0.1940043419599533]	[-0.18208660185337067, -0.3009965717792511, -0.07865734398365021, 0.9327694177627563]	[-0.12199747562408447, -0.3337562680244446, 0.14525443315505981, 0.923376739025116]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.658446	[-0.309592604637146, 1.5180386304855347, 0.12812761962413788]	[-0.5038861036300659, 0.10541009902954102, 0.03352751582860947]	[-0.46485936641693115, 1.2891435623168945, -0.28698524832725525]	[-0.29115739464759827, 0.9544335603713989, 0.07745824009180069]	[0.05058310553431511, 0.16083863377571106, 0.21290549635887146]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10798227041959763, -0.33868521451950073, -0.021959757432341576, 0.9344249963760376]	[-0.11708617955446243, -0.08565806597471237, -0.07686392962932587, 0.9864307641983032]	[0.9781874418258667, -0.05542897433042526, 0.07675843685865402, 0.1848922222852707]	[-0.18131351470947266, -0.29106462001800537, -0.07595247030258179, 0.9362895488739014]	[-0.1287824809551239, -0.34661099314689636, 0.14385093748569489, 0.9179231524467468]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.669985	[-0.30281293392181396, 1.5160406827926636, 0.12978479266166687]	[-0.5033607482910156, 0.1052645593881607, 0.033576466143131256]	[-0.4429415762424469, 1.2909075021743774, -0.2894595265388489]	[-0.2845472991466522, 0.9527848362922668, 0.07920290529727936]	[0.044728297740221024, 0.1523343324661255, 0.2179511934518814]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.1083940789103508, -0.3374043107032776, -0.021249428391456604, 0.9348570108413696]	[-0.11684919893741608, -0.08387435972690582, -0.08034438639879227, 0.9863348007202148]	[0.9765111804008484, -0.06795858591794968, 0.09309893846511841, 0.18204455077648163]	[-0.18663938343524933, -0.2860664129257202, -0.07669731974601746, 0.9367226958274841]	[-0.13393127918243408, -0.3506576120853424, 0.14130033552646637, 0.9160435795783997]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.681634	[-0.29597046971321106, 1.5140841007232666, 0.1314719319343567]	[-0.5028752684593201, 0.10508298873901367, 0.033661384135484695]	[-0.42124930024147034, 1.2922754287719727, -0.29104119539260864]	[-0.27762579917907715, 0.9507104158401489, 0.08111978322267532]	[0.042069852352142334, 0.14819712936878204, 0.22036835551261902]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10827543586492538, -0.3365531861782074, -0.020817991346120834, 0.9351871609687805]	[-0.11602818220853806, -0.08179759234189987, -0.08357015997171402, 0.9863380193710327]	[0.9747262597084045, -0.07861123234033585, 0.11069699376821518, 0.17741245031356812]	[-0.18783962726593018, -0.278323233127594, -0.07546862959861755, 0.9389126896858215]	[-0.13518235087394714, -0.34989500045776367, 0.14198197424411774, 0.916046142578125]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.693177	[-0.2825686037540436, 1.5108673572540283, 0.1348298341035843]	[-0.5019522905349731, 0.10489151626825333, 0.03391072899103165]	[-0.3813817799091339, 1.2942838668823242, -0.29227662086486816]	[-0.2644359767436981, 0.9455018639564514, 0.08528375625610352]	[0.03890714794397354, 0.1405368149280548, 0.2243787795305252]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10782591253519058, -0.3343355357646942, -0.019602268934249878, 0.9360604882240295]	[-0.11462772637605667, -0.07818053662776947, -0.08977779000997543, 0.9862496256828308]	[0.9707892537117004, -0.09313149750232697, 0.1449451446533203, 0.16699042916297913]	[-0.18516981601715088, -0.26386892795562744, -0.07750005275011063, 0.9434400796890259]	[-0.1408246010541916, -0.34298470616340637, 0.12892773747444153, 0.9197323322296143]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.704658	[-0.27459266781806946, 1.50925612449646, 0.1368468850851059]	[-0.5015169978141785, 0.10485053807497025, 0.03412235528230667]	[-0.35900917649269104, 1.2951115369796753, -0.2922665476799011]	[-0.2564799189567566, 0.9425023198127747, 0.08758673816919327]	[0.037878554314374924, 0.13577909767627716, 0.225464329123497]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.1079796850681305, -0.3329634666442871, -0.019014861434698105, 0.9365438222885132]	[-0.11354178935289383, -0.07633370161056519, -0.09274081885814667, 0.9862457513809204]	[0.9681976437568665, -0.09882957488298416, 0.16490019857883453, 0.16010673344135284]	[-0.18165168166160583, -0.2546497881412506, -0.077576644718647, 0.9466457366943359]	[-0.14159724116325378, -0.3414369225502014, 0.1250845193862915, 0.9207198023796082]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.716221	[-0.25975874066352844, 1.506767988204956, 0.14082612097263336]	[-0.5005578398704529, 0.10477948933839798, 0.0345379076898098]	[-0.32060256600379944, 1.2964508533477783, -0.29079532623291016]	[-0.24145881831645966, 0.9371206164360046, 0.09130823612213135]	[0.0369131937623024, 0.1274719387292862, 0.22777771949768066]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.1053575873374939, -0.3312072455883026, -0.016912469640374184, 0.9375050067901611]	[-0.11049453169107437, -0.07407007366418839, -0.10032515227794647, 0.9860221147537231]	[0.9619428515434265, -0.11086117476224899, 0.1995190978050232, 0.1502263993024826]	[-0.17582452297210693, -0.23791944980621338, -0.07847889512777328, 0.9520090222358704]	[-0.14322729408740997, -0.3359195590019226, 0.11863026767969131, 0.9233477115631104]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.727730	[-0.25212499499320984, 1.5058056116104126, 0.14300179481506348]	[-0.4999341070652008, 0.10479194670915604, 0.034724101424217224]	[-0.30201080441474915, 1.2967092990875244, -0.28974035382270813]	[-0.23408745229244232, 0.9355236887931824, 0.09344428777694702]	[0.036557991057634354, 0.12353841960430145, 0.22870101034641266]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10439660400152206, -0.3299879729747772, -0.014955944381654263, 0.9380755424499512]	[-0.10829001665115356, -0.0724673718214035, -0.10453043133020401, 0.9859488606452942]	[0.9587846994400024, -0.11222324520349503, 0.2173982858657837, 0.1444852650165558]	[-0.1760791689157486, -0.23039183020591736, -0.07995101064443588, 0.9536895155906677]	[-0.14382199943065643, -0.3327752351760864, 0.11720962822437286, 0.9245744347572327]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.737924	[-0.24444618821144104, 1.504939079284668, 0.14516134560108185]	[-0.4993121325969696, 0.10491346567869186, 0.034960418939590454]	[-0.28432080149650574, 1.2973220348358154, -0.28827133774757385]	[-0.2268332839012146, 0.934699296951294, 0.09619204699993134]	[0.03645998612046242, 0.12082038819789886, 0.22898969054222107]	[-0.26897281408309937, 1.3353023529052734, -0.2426033318042755]	[0.10316561907529831, -0.3282835781574249, -0.013974590227007866, 0.938824474811554]	[-0.10581272840499878, -0.07103969901800156, -0.10880405455827713, 0.9858593940734863]	[0.9556249380111694, -0.11576619744300842, 0.23119840025901794, 0.14116106927394867]	[-0.18093183636665344, -0.22474348545074463, -0.0827755481004715, 0.953887939453125]	[-0.14536087214946747, -0.3318350613117218, 0.11021218448877335, 0.925531804561615]	[0.6421610116958618, 0.6524759531021118, 0.4006892442703247, -0.036776598542928696]
2024-07-17 10:47:27.749666	[-0.22924596071243286, 1.5039080381393433, 0.14981934428215027]	[-0.49787580966949463, 0.10524840652942657, 0.035685859620571136]	[-0.2525795102119446, 1.2988402843475342, -0.28513243794441223]	[-0.21266421675682068, 0.9331803321838379, 0.10078432410955429]	[0.035728830844163895, 0.1155899167060852, 0.2299632430076599]	[0.25733885169029236, 1.213310718536377, 0.401217520236969]	[0.09952639788389206, -0.32583552598953247, -0.011116106994450092, 0.9401074647903442]	[-0.10097283869981766, -0.06818883121013641, -0.11758842319250107, 0.9855596423149109]	[0.9497138261795044, -0.12362074106931686, 0.24827608466148376, 0.1453293114900589]	[-0.18277427554130554, -0.21553409099578857, -0.08547975867986679, 0.9554223418235779]	[-0.1445189267396927, -0.33021506667137146, 0.10617337375879288, 0.9267143607139587]	[0.8528191447257996, -0.11032237112522125, -0.30649077892303467, -0.40815678238868713]
2024-07-17 10:47:27.761161	[-0.22041890025138855, 1.5035775899887085, 0.1524791717529297]	[-0.49683040380477905, 0.1054484099149704, 0.036045804619789124]	[-0.23602859675884247, 1.3000047206878662, -0.283039927482605]	[-0.2044980674982071, 0.9330638647079468, 0.10362318903207779]	[0.03597276657819748, 0.11310272663831711, 0.23017705976963043]	[0.2583199143409729, 1.206093192100525, 0.42527148127555847]	[0.09830375760793686, -0.32391077280044556, -0.009956062771379948, 0.9409140348434448]	[-0.09770983457565308, -0.06573259085416794, -0.12248943001031876, 0.9854584336280823]	[0.9479806423187256, -0.12757985293865204, 0.25131672620773315, 0.14797329902648926]	[-0.18450689315795898, -0.21204674243927002, -0.0865960493683815, 0.9557690620422363]	[-0.14354519546031952, -0.3335592746734619, 0.10137824714183807, 0.9262049198150635]	[0.8979365825653076, -0.09456615895032883, -0.16227227449417114, -0.39803898334503174]
